Texto,Etiquetado
@mau24yangaly caminar picados por ahí después de las copas de vino y pisco por el aniversario de la escuela jajajaja,Neutro
@herostrip_ ??,Neutro
????,Neutro
Un montón ????,Positivo
Al salir a correr por las noches ??,Positivo
"Uyy muchas veces, lindos recuerdos de ??????",Positivo
Hermosos recuerdos!!,Positivo
Ufff...,Positivo
X2??,Positivo
Excelente toma ??,Positivo
Las veces camino a central :'),Positivo
@angel_huar lo que acabo de recordar es cuánto me dolían los pies al caminar sobre esas piedras xddddddd pero te creo xd,Neutro
"@kellserwho La U de noche, en general, es bonita xd No solo es caminar por esas piedras or xd",Positivo
@angel_huar pero eso es todo lo que he conocido *tono dramático*,Neutro
@kellserwho OE SÍ AAAAAAA y emcima ahí entrenaba fútbol en la selección de fútbol de la U ??,Neutro
"@angel_huar lo sé y me duele por ti. Aparte de que se ve que era bonito al atardecer, estoy AMANDO la captura ????",Positivo
"@kellserwho Debías verlo en vivo, era germoso pipipipi",Positivo
@angel_huar la nostalgia para ti :(,Positivo
Hermosos recuerdos amigos San Marquinos,Positivo
"@martinpaz05 los guardias se chuparon el trago, esos cdsmr xd",Negativo
"@wlozada4 @patrickcastanedasalcedo @sergiorubenalfaromauricio  @adielmuchaespinoza  fue en ese lugar donde  el drone nos vio, luego llegó la moto y nos quitaron el trago en la última verbena csm :""v",Neutro
Uffffff,Positivo
En ese parque me comia a mi flaca en ese entonces xdxdd,Neutro
"Mi primer megachape fue por ahí, creo que acaba de cumplir 17 ??",Neutro
@edith_tineo @lisett_ovalle @pierogallardo_2909 ????,Positivo
Yo los he recorrido desde 1969 a 1975.????,Positivo
Hacia la puerta 5..??,Neutro
@jaimitus4 ya tocará nuestro regreso con sus che ??,Positivo
@jaimitus4 @pierobuhytron Aquellos tiempos ??,Positivo
@emilyrubydg @pierobuhytron ??????,Neutro
No cambio nada dsd 2002 ????,Neutro
????,Positivo
"La mejor etapa de mi vida, amigos",Positivo
"La mejor etapa de mi vida. Época universitaria, amigos ... nostalgia san marquina...??????",Positivo
San Marcos??????,Positivo
@andersonxdxd ??,Neutro
@fernandoroque1607 ??,Neutro
@fernandoroque1607 uwu,Neutro
??,Positivo
??????,Positivo
@paulofd16 ??,Neutro
@a_velasquez11 ji??,Positivo
@brendaiglesias_ <3,Positivo
@bco_bryan_calderon ??,Neutro
??,Neutro
?????,Positivo
@adriana._.10 ??,Positivo
De la biblioteca a la huaca. #QueRecuerdos! ?? Atte. Un egresado,Positivo
@carlos.sixtynine jajaja después de estudiar en la central diras xd,Positivo
@scott_diaz20  después de tropical ??,Neutro
"@liliplus0805 si muchos ??, también a la derecha =p",Positivo
@kieldbq jajajajaja ramita ??????,Positivo
@kieldbq ??,Positivo
La vereda de los gemidos??,Neutro
@carlosanibale ??,Positivo
@diegovillacaqui jajajaja pendeivis te crees ?????? y tu bien que conoces esos lares xd,Neutro
@alecuellardelacruz derrepente desaparecías ??????,Neutro
@stibentc mucha nostalgia :'( ??,Positivo
@kellyvico.pt @esther.osco :(,Neutro
??,Neutro
El viento por esa zona lo mejor...y recuerdos llegan a la mente con personas especiales.,Positivo
"?? Nostalgia activándose en 3, 2, 1...",Positivo
@claudia.echevarriaquispe jajajajajajajaja es una nenita mata arboles,Neutro
@scarletangiecc ???????? la foto que le tomaste ese día necesita salir a la luz,Neutro
@mariafenaveda ???? lo voy a exponer @alexis_arohillca no se defiende lo indefendible,Neutro
@claudia.echevarriaquispe oeeeeeeeee ??????????????,Positivo
@claudia.echevarriaquispe ??los dias con lluvia eran los mejores,Positivo
@claudia.echevarriaquispe conversando de la vida ??,Positivo
@claudia.echevarriaquispe jajajaja oye te olvidaste de @alexis_arohillca,Neutro
@scarletangiecc  es que no nos hablábamos por esos tiempos xD,Neutro
@claudia.echevarriaquispe ahora menos ??,Negativo
@alexis_arohillca ay ya se resintió ya ??,Negativo
@scarletangiecc @mariafenaveda @daniela.orieta @pan_con_pollo828  saliendo de danza??,Positivo
Hace 15 años atras habian mas plantas en ese jardín ?? y bancas para sentarse como estara ahora?,Positivo
@andresxvre JAJAJA ya peeeer,Neutro
Cuando salía de biblioteca todos los días,Neutro
???????? extraño la u csm,Positivo
Road to huaca uwu,Neutro
@angi_3098 tantas veces tropezando xd,Neutro
@aguinaga1703 jajajajajjaja las piedras y mis botitas no ayudaban XD,Neutro
"Jajajaja xd no, tú no sabes caminar xd",Neutro
"@aguinaga1703 estraño ciudad??, tantas veces caminando por ahi",Neutro
@angi_3098 ??,Neutro
Recuerdos cuando sali de pito xd,Neutro
@esperanzaac9 x2 uwu,Neutro
@josecarlos0903 vi esto y me dio frío uwu ??,Neutro
@jaz_gonzalesvi ??,Neutro
@mangelpaucar ????,Neutro
@monicacutexd esos tiempos ??,Neutro
@gabii_1799  jajajaja cuando decia ya estoy por la biblio pero estaba por ahí,Neutro
@nzero666 jsjsjs,Neutro
@esperanza13valencia que recuerdos,Positivo
@alexandra_27.37 era rutina de todos los días????,Neutro
Duele los pies al caminar en esa vereda de piedras ;-;,Negativo
@spider.solidario y en la huaca? xd,Neutro
@antonzoliv en esa cancha me hice hombre,Neutro
@michelle.tg7 ??,Neutro
@douglashuaman cuando salíamos juntos rumbo a la P1 ??????,Positivo
Tantas veces de noche y en soledad o con música. Qué tiempos :),Positivo
@frankdominguezchenguayen  jajajaja,Positivo
Alaaa??,Positivo
@eer.24 ??a mi también me trae muchos recuerdos ajajaj,Positivo
"@ruth_29_15 esa risa, picaronaa ????????",Positivo
"@missruth_23 @ruth_29_15 , recordé que siempre pasábamos por ahí, en las salidas o para ir al comedor, *la famosa curva* ??????????????",Positivo
"@gh.marisol ou, qué recuerdos... Grandes caminatas ??",Positivo
@kathyale13 camino a la biblioteca todas las noches ????,Positivo
@dianamelissa14  cuando salíamos en las noches de la central o de mecánica de fluidos ??,Positivo
Cuando iba a los ensayos de danza en el rectorado ??,Positivo
¡Qué tiempos!,Positivo
Si un montón de veces!!,Positivo
Uff ??,Positivo
@luzcastro0191 ????,Positivo
"Mi libro ""El eterno sendero de los pensamientos"" está inspirado en este camino.",Neutro
??,Positivo
????como se extraña caminar cuando no hay sol por ahí ??,Positivo
Qué nostalgia ??,Positivo
????,Neutro
@jroqueb95 @jim.porras @juan_mego vuelta a toda la u xd,Neutro
Muchas veces ??,Neutro
Muchas veces ?????,Positivo
Que recuerdos ??... Los mejores 5 años de mi vida,Positivo
Cómo olvidar ese trayecto ?? ...,Positivo
Te extraño ??,Positivo
@rossemetl ni me lo digas :c ese bosque trae recuerdos ????,Positivo
@jeikoo.05 :c,Neutro
Qué nostalgia ??,Positivo
@juan_diezynueve ufff cada centímetro tiene un pedazo de la planta de mi zapatillas,Positivo
@tinyokami cuántas papi ??,Neutro
Usa este comentario como 'me entristece'.,Neutro
????????,Neutro
@dianasofiarevilla ???????? tantas vueltas :'v,Neutro
@johanny.yare ??,Neutro
@paulfernando296 ?? recuerdos ??,Positivo
@poolmanko brom :( de noche yendo a la plaza uu tkm brom los extra,Positivo
"@rincon.verde.2001, cuando estábamos en busca de @thunder_lml para entrar al FIEEtonazo :c",Neutro
@franco.murga853 @rincon.verde.2001 aea,Neutro
"@paulcruz.5, por ahí corrimos o erro? :'v",Neutro
"@sandyqueen20, por ahí te perdías. xD",Neutro
@bautole como cuando salía al baño y terminaba dándome toda la vuelta por la U. ????,Positivo
Mi salida por las noches de la maestría. ??,Positivo
@amorillocano @carla_mejiamorales @cristina.sarmiento.100046 ????,Positivo
@gabrengifo me has sacados los recuerdos más bonitos de mi vida sanmarquina ??,Positivo
@elbabz caminando de la biblio a la puerta de la Venezuela. ??,Positivo
@elbabz ??,Positivo
@anitaspordoquier los buenos tiempos :'),Positivo
@jennyferchanga ??,Positivo
@denilsonwcq  para ir a hacer las raid o recoger la caja meltan ??,Neutro
@ben10alf alfrduuus!! Aquellos tiempos :( ??????????,Positivo
@sil.vana_14 ??,Neutro
@sil.vana_14,Neutro
"Claro, lo recuerdo , espero volver algún día ...",Positivo
¡Qué recuerdos! ??,Positivo
Ufff cuántas veces recorrí ese camino y cuántas otras me desvíe del mismo jaja,Positivo
"Uffff tantas veces, que buenos recuerdos!!! ??",Positivo
??,Positivo
Este invierno no lo recorrimos ?????????????? Ojalá pronto ??????,Positivo
"Como, no recordar..",Positivo
Fotazo,Positivo
recuerdos!!!,Positivo
"??????! ??????? ????????????! ???????????? ?????????????????? ???? ???? ?????? ????????????, ???? ?????? ??????????, ???? ?????? ???????????? ???? ???? ???????? 2000 ??",Positivo
??,Positivo
@elbabz ??,Neutro
@dbedoya16 un verano del 2008 y nosotros caminando por esa veredita de piedras ??,Positivo
Las noches de los sábados tenían su toque de suspenso ??,Neutro
Esas noches que ya no se dan luego de salir de la central ???? ...,Positivo
Siempre caminaba por allí yendo a mis clases,Positivo
??,Neutro
como me gustaría pasear en bicicleta dentro de la ciudad universitaria.,Positivo
@wendycotosc el.bosquecito ??????,Positivo
@ciyei27  amor ??,Neutro
@jlimonxi jajjajaj te pasas,Positivo
Por ahí te escapabas @pattybedsa y @merly.chang,Neutro
"Buenos recuerdos en el burrito. De hecho, cuando tenía 12 años mi hermano estudiaba en San Marcos y cuando él hablaba del burrito yo pensaba que literalmente un burrito los transportaba. No supe lo que era el burrito hasta 4 años después",Positivo
@jose.chaucadelgado por ahi tendrás fotos?,Positivo
@lucerovt8 jajajaja El burrito ????,Positivo
@eduardoav16 ??,Positivo
????,Positivo
??,Positivo
"@wal_mosquera qué postal con el  burro, hermano.",Positivo
@hrjeanpaul,Neutro
@shanty.va.segura pregúntale si tiene fotos y nos las envías ??,Neutro
"@unmsm_ genial, le pregúntare y si es así las mando??",Neutro
Mi mamá me cuenta historias sobre el burro me encanta todo lo q me cuenta??????????,Positivo
@hezer1212 de ciudad a Cangallo!!!!! Claro el mejor de los comedores,Positivo
"Buenos momento, para ir a gusanear... En el burrito.",Positivo
Una vez lo hize,Neutro
@francocurottob same,Neutro
"Cuando fui al simulacro de marzo entraron más personas que el foro máximo, que hubiera pasado si alguno ya tenía el virus?",Negativo
"Una vez de casualidad me subí pero me toco el de profesores y sinceramente prefiero subirme a los chinos en hora punta que a ese bus de “profesores” , que resultó ser gente más arrogante y botada... encima que ganan sueldo les quitan la facilidad de subir a un bus a los estudiantes de poco recursos.",Negativo
??Cuántos recuerdos ??,Positivo
Inolvidables  viajes al interior de nuestro país.,Positivo
Qué lindos recuerdos mi burro de la av.  Grau,Positivo
Q lindo recuerdo!!!!!!??????,Positivo
???,Positivo
"En una oportunidad, tomé el burrito cerca a San Fernando y, como era toda una hazaña subir, una compañera perdió uno de sus zapatos, y así se fue hasta la Ciudad Universitaria. Nunca supe si recuperó su zapato. Por el olorcito, creo que nadie osó en entregárselo.",Neutro
@100mostbeautifulfacespucp jajajajajaja,Positivo
Ese burro es @mario_oballe19,Negativo
Siempre me subía para ir a la biblioteca! ????,Positivo
"era fijo cuando iba a pie y entraba por la pta 0 xq tenía K ir a educación que quedaba al otro lado de la ciudad, mayormente la hacía en bici K por cierto casi me estrello cara a cara con el burro en esa curva ciega del tunel K vi a toda la gente agarrarse fuerte por la frenada,,",Neutro
"Más de una vez pude regresar a casa gracias al burrito, pero nunca pude subirme a uno que me llevará a clases ¡Pasaban demasiado temprano! ????",Negativo
@mory_16_12 ohh que sad uu ??,Positivo
Mirenn chicaas @livery0215 @lisseth.st @laura.rs27 ??????,Positivo
Y es el mismo burro creo ?????????? ¡Qué buenos tiempos!,Positivo
"Recordar es volver a vivir, del paradero de los burros, al comedor de Cangallo. Dias bellos e inolvidables q todo buen sanmarquino esbozara una nostalgica sonrisa, pero con mucho amor, por los dias felices vividos.????",Positivo
"El ""burro"" claro que subíamos con mis amigas para ir hasta la Av. Abancay, centro de Lima, que recuerdos ??",Positivo
Ahí toy!!!,Positivo
XQ LE LLAMAN «BURRO»?,Positivo
"Esos son los Van Hall! Junto con los GM hasta ahora son los mejores vehículos que la universidad ha tenido. Los de la UNA eran verde claro, pero jamás soportaron el trajín de los nuestros.",Neutro
Con esta pandemia el «burrito» esta en SUSPENCIÓN PERFECTA!!!,Neutro
"@flavia_ch11 eres sanmarquina, recuerda, ""suspenSión"" . ????",Neutro
Tengo 13 años. No soy San Marquina. Gracias x la corrección!!! ??,Positivo
"@carlosalb3636 no podemos acceder al enlace, puedes compartirlo por mensaje interno, por favor.",Negativo
@unmsm_ ¿Por que le llaman «burro»?,Positivo
"@flavia_ch11 por cargar en exceso pasajeros. A veces parecía que se iba a voltear cuando cogía curvas, como en Grau, Bolognesi, el cambio de Arica a Venezuela o la salida de la Ciudad, por Química ??",Neutro
https://images.app.goo.gl/9eUueCmwhKLCRJB69,Neutro
"@luisperaltab Hahahahaha ?? conozco el pasado, el presente y el futuro, Adioz",Neutro
@jossel.chi qué haces ahí? Eres una viajante del tiempo ??,Neutro
"Yo viaje en ellos, anécdotas muy queridas para mi. @gabx180487 @sarahralza9 mi hermosa adolescencia en mi alma mater UNMSM ??",Positivo
Hola alguien sabe cuando sera el examen de san marcos...por k nadie se pronuncia y pague mi derecho a examen,Negativo
??,Positivo
??,Positivo
@maria_ho99 lo que me contasteeee,Neutro
??,Positivo
Ahora es un nuevo autobus !!! ??????,Positivo
Para todo san marquino una experiencia inolvidable los viajes en el Burro,Positivo
Ese burro trae consigo infinitos recuerdos en cada alumno,Positivo
"Subir al burro en Roosevelt era una hazaña, yo tomaba la 7 Lima Callao pero si quería ahorrar unos cobres tomaba el burro a unas cuadras, en Roosevelt, para ir a la ciudad universitaria.",Positivo
??,Positivo
????,Positivo
"Y la burra también,  el paradero era al costado del Institu to José Pardo, que recuerdos tomar el burro en la Ciudad Universiraria y correr hacia el Comedor de Cangallo.",Positivo
"Ja, ja,... entren que caben cien...",Positivo
UNMSM-MI ALMA MATER,Positivo
"Conozco a varios de la foto, ahí está el CHINO CHIA",Positivo
"En el paradero de Derecho conocí hace 36 años, a la compañera que ahora es mi esposa.",Neutro
@rcatherinetf estará en lista,Positivo
@katherine_pillco03 @paolabergling anoten foto con el burrito en la lista de cosas por hacer antes de graduarnos ??,Positivo
??????,Positivo
@cristel_libra,Neutro
@dilwaledulhaniya ??,Positivo
Bellos recuerdo de mi alma mater??,Positivo
@anthonygarriazo xD,Neutro
"@milyherbozo y @edgardzeadiaz mira, son ustedes tomando el burrito",Neutro
@jchipanosky ¡Qué monse!,Negativo
@guillermito.oficial otra facu pues papu ??,Neutro
6 años de carrera y nunca me he subido ??,Neutro
??,Neutro
UNMSM siempre con el pueblo y por el pueblo!,Positivo
San marcos la unica institución educativa que forma profesionales con la etica y moral de hacer lo correcto . Y siempre lucho por el bien del País .  fuerza a la familia de los fallecidos ??,Positivo
??,Neutro
SanMarquitos??,Positivo
Condolencias a los compañeros.,Positivo
??,Positivo
Condolencias a los compañeros. <3 mucha fuerza a sus familiares.,Positivo
@o.magui.a,Neutro
??????????,Positivo
Mucha fuerza uu,Positivo
????????,Positivo
??????,Positivo
Hay varios compañeros san marquinos heridos y desaparecidos que necesitan su apoyo!,Negativo
Justicia para ellos ??,Positivo
"Condolencias a los familiares afectados, a los compañeros que fueron cruelmemte asesinados por hacer respetar sus derechos mi admiración y respeto.",Positivo
??,Neutro
@maiteciruela,Neutro
??,Positivo
????????????????????,Positivo
Siempre adelante San Marcos ?? sigamos en la lucha ??,Positivo
Mis màs profundas condolencias a loa familiares de estos jovenes heroes??????,Positivo
????,Positivo
????,Positivo
??,Neutro
Justicia para nuestros compañeros ??,Negativo
#fuerzaperú ??????,Neutro
San Marquinos siempre en la lucha!!??,Positivo
??,Neutro
"UNMSM no hay duda que la educación transforma, gracias por estos héroes ??",Positivo
??,Positivo
Todos somos peruanos y #sanmarcoseselperú ??????????,Positivo
Me siento muy triste!,Neutro
??,Neutro
#siemprepresentes .#fuerzaperu#vigilia.,Neutro
Te amo Perú ???? por eso te defiendo. UNMSM??,Positivo
"Inti, Brayan jamás serán olvidados?????????? héroes del bicentenario",Positivo
??,Positivo
Orgullosamente de la UNMSM ??????,Positivo
Orgullosamente de la UNMSM ??????,Positivo
@estefany.espinoza21,Neutro
@licelicantu23,Neutro
Universidad DE TERRORISTAS....,Negativo
Mis condolencias a los familiares de estos héroes del bicentenario que hicieron respetar sus derechos ??,Positivo
??,Neutro
??,Positivo
Pueden responder los telefonos sus anexos no sirven tengo meses llamando,Negativo
@josemanuelchaur 24 de mayo uu,Neutro
"@_angiesald wtf...! Bueno, por suerte termino este mes :v",Neutro
En abril? Qué mes empezará el ciclo 2021.1 en San Marcos?,Positivo
@lucero.yp ????,Positivo
"Al fin, que buena noticia",Positivo
@alondranicole_14 @claudia_ximena29 heyyy miren????,Neutro
@luisahelen.14,Neutro
??,Positivo
Excelente.,Positivo
@apuntes_anguz se vienen tiempos difíciles,Neutro
@astudillo.vana Amén hermana ??,Positivo
@astudillo.vana,Neutro
@yessivillacorta @sandypatty0309,Neutro
@jackeline.frida15 ??,Positivo
@woodgate_18_f,Neutro
"Asimismo se debió prevenir en el 2020, y no generar el desprestigio con las penosas imágenes/videos q luego luego salieron en todas las redes ??",Negativo
@dante.pe ????,Positivo
@madaivasquez1602 @paolavasquez1503 @karen.vasquez.75 si se puede! Vamos con todo ??,Positivo
@sadfdafads,Neutro
WOW. Ni yo me había dado cuenta ???,Positivo
@camilavricaldi posera,Negativo
Las inscripciones cuando será.??,Positivo
@samir_e04,Neutro
@camilavricaldi con la fe,Neutro
@valentin.vela,Neutro
Qué nervios!,Neutro
ESPERO QUE NO DIGAN A ÚLTIMO MOMENTO QUE EL EXAMEN SEA VIRTUAL:C,Negativo
Ojala no lleguen tarde ??,Negativo
????,Positivo
Y las clases presenciales para cuando? ????,Negativo
@sebastoflo28,Neutro
@__cieloalcantara tranqui bbita nos merecemos un espacio ahi??,Positivo
@jazmin04._ ?,Positivo
Por favor no se conviertan en asesinos. No ven ke están poniendo en riesgo a muchos de nuestros familiares.. . Y como sabemos los jóvenes son los principales vectores de dicho virus. Dejen de pensar solamente en la reactivacion de la economía.. Tomemos conciencia.,Negativo
Bebeeeee @angeles_jhosarely ????,Positivo
¿Y como harán con los tramposos que ingresaron en setiembre? Seguro que si vuelven a dar examen miles no ingresaría.,Negativo
Uwu,Neutro
??,Positivo
Cuando empiezan las inscripciones?? @ilan_jesus  hermanito miraa,Positivo
Devuelvan la plata !!!!,Negativo
"Más información para poder  adquirir el prospecto, aún estando en provincia",Positivo
"¡Excelente""  Mi alma máter debe mantener siempre la rigurosa selección de las nuevas generaciones.",Positivo
Ojalá no lo cambien a última hora cuando ya este pagado ?,Negativo
A finales de abril? Esperaba que sea eneroo máximo marzo ??,Negativo
increíble,Positivo
"Pero si el examen virtual fue un ""éxito"" porque hacerlo presencial???",Negativo
@rogopereira,Neutro
@yulisaochante,Neutro
@kendall_henderson_jc,Neutro
"ya era hora, xd",Positivo
Al fin algo sensato !!! El examen anterior dejo mucho de desear.  Los ingresantes de ese examen realmente no son dignos de ingresar a la San Marcos,Negativo
"Debemos aprender ya a convivir con el virus, tengo la visión q recién todo el Perú restará vacunado recién a mediados del 2022",Neutro
Por favor si alguien me brinda informacion sobre la cepre 2021. Cuando empieza,Positivo
@olgacarlar traslado externo.,Neutro
@marielbalcazar13,Neutro
@andres_lh15,Neutro
@navaalexa otra vez no :(,Negativo
@stephannymu8,Neutro
En mayooo??????????,Neutro
@arix.mori ya fuimos xd ?,Neutro
@fabi_19_10 ya fue la vida uu. :c,Neutro
@a.n.d.r.e.aaaaaaaaaaaaa @fabi_19_10 ????,Neutro
@sinfonia__agridulce,Neutro
Gracias a Dios????????,Positivo
@santos.flores18 ??,Positivo
@fiorella_lau23,Neutro
Super y cuanto son los costos y que se requiere,Positivo
@alinatembladera @guitembladera,Neutro
"Las fechas de inscripción para realizar el examen, cuando son?",Positivo
@ariana_villagaray ?? 15 por aula,Neutro
@adriana16599,Neutro
@camila_cp18 @julio_cesar_calixto ??,Positivo
@sohe_enriquez 1 febrero,Neutro
@maritaby13 Graciasssssssssss,Positivo
LAS INSCRIPCIONES CUANDO SON?,Positivo
@yaneralexies,Neutro
@renato_garibay jajajaj no creo,Neutro
Habrán universitarios que ayuden a los postulantes a llegar a su aula? ??,Positivo
@yasmin.seto05,Neutro
@jazminbarreto29 en el estado encima ??,Neutro
@doris_milagros03,Neutro
"""presencial"" xd",Neutro
@tania_lopezc,Neutro
"@luzlareneg pordos, que alguien me explique!! Quiero postular a la UNMSM cómo pago mis inscripción para mis exámen? Tengo que pagar los dos? Inscripción y exámen!? Expliquenme pleaseee.",Positivo
La promocion 2020 tambien podra postular?,Positivo
@ariana148.ac pero él es un crack y si podrá?? @fernando_hv24,Positivo
"@ariana148.ac Ya era hora, no era posible que con el examen virtual bajen el prestigio de la universidad ??",Negativo
@fernando_hv24 JAJAJAJAJ COMO HABLAS Y TU QUERIAS YA.,Neutro
Pobre mi cuchi????,Positivo
@rosa_alexandra21 recontra lista pa roperles el qlito a todos 7u7,Positivo
@diana.bravo09  estamos listas?,Neutro
"@karenlvaldivia, 203 turno noche <3",Positivo
@jose.samaniego1 al menos dale like a tú salón,Neutro
"Tarde, un exámen virtual tarde!",Negativo
@tamaraserra_13,Neutro
"Seguirán el mismo número de vacantes o aumentará o disminuirá, entrarán nuevas personas a inscribirse?",Positivo
JAJAJJAJAJA JAJAJAJA,Positivo
Y las clases para cuando?,Neutro
Los que ibamos para el presencial del 2020-II podran postular esta vez?,Positivo
????????,Positivo
@robertalexanderaricaflores,Neutro
??,Neutro
@unmsm_ @admision_unmsm quiero una respuesta a mi correo,Negativo
@andreaginett26,Neutro
@raizaalvarado2502,Neutro
@unatazadeteconlimon ??,Positivo
"?????? esoo vamos decana de América, sigan sigan forjando los profesionales del Perú.",Positivo
??Me parece buena medida,Positivo
@shiomaravalenzuela x3,Neutro
@shiomaravalenzuela x4,Neutro
@shiomaravalenzuela x5,Neutro
@shiomaravalenzuela x2,Neutro
Y para los que no pudieron dar el examen en marzo y no dieron el examen virtual??,Positivo
@dayhana.so sisisi c:,Positivo
"@_maryori_es, con todo, menos miedo ??????????",Positivo
Para el exámen de admisión ? Para que fecha  porfavor,Positivo
"Eso debieron hacer desde un inicio, y no una burla como el anterior proceso virtual -.-!",Positivo
@rkevin_05 ya lo vi uuu jajajaj??,Positivo
@mackey.st ????,Positivo
@brayton321z,Neutro
La promocion 2020 tambien podra postular?,Positivo
@larissa.tam,Neutro
@angie.e20108,Neutro
@matiascs03,Neutro
@neilsanchezcamus,Neutro
??,Positivo
@valeriaahdjksa  @emilio_charles_07,Neutro
"Eso debieron hacer desde un principio, ¿tanto les costaba esperarse y así todos tener igualdad de condiciones? Me decepcionas San Marcos.",Negativo
@jorgeg.chavezmacedo,Neutro
Excelente,Positivo
@mauricio_pon.c las fechas están en la última publicación de @admision_unmsm,Neutro
Cuando??,Positivo
@rosa_alexandra21,Neutro
con todo o nada????,Positivo
@titopool.12,Neutro
En el Estadio???,Positivo
@xyannelfaniax,Neutro
@reef_vmx1 ????????,Positivo
Virtual era la voz,Negativo
Que buena noticia,Positivo
@mariselaremigio PTM NO HABÍA VISTO ESTO JAJXIANDJA,Neutro
@joselinmilagrosgalvezch,Neutro
@c.gerardoaburto x2,Neutro
"@c.gerardoaburto 6 mil en el estadio,8 mil repartidos por las aulas",Neutro
"Dicen 6,000 y luego dicen 8,000 , no entendí",Negativo
Y si no se dan las condiciones hasta abril cuál es otra alternativa ??,Positivo
Llamarán a los que íbamos a apoyar el año pasado y que ya tenemos credenciales?,Positivo
FINALMENTE??,Positivo
"@esmeraldasimpe con todo,colegas ??",Positivo
@esmeraldasimpe @emilygd01 las quiero ver en mi salón futuras abogadas ?? ??,Positivo
@emilygd01 @mib_jesus,Neutro
"Al fin. Y no se pasen en eso de realizar examen de admisión virtual y luego bajen el prestigio que tiene la universidad, que a muchos alumnos les a costado dejar en alto el nombre de la Decana de América. ??",Negativo
con todo el sol asfddbnksdd,Negativo
"@frankcasmosempai x2, sigo teniendo esa duda, no di mi examen en octubre y no sé si podré entrar en ese grupo:(",Positivo
"@scaaaar.let_  Ando en las mismas, en Octubre no di mi virtual",Positivo
"@frankcasmosempai tu inscripción es automática, ya que elegiste a la llegada de tu examen de admisión a algunxs compañeros ya les llegó un correo informándoles eso, intenta comunicarte con la OCA",Neutro
Si voy a poder mi examen si he pagado y no he podido por virtual??,Positivo
@pierangelo_bc,Neutro
@jhoel.rojasc,Neutro
@rojasmary08,Neutro
@joseflores.rodriguez,Neutro
Buenas una consulta habrá simulacros,Positivo
Cuánto cuesta la inscripción?,Positivo
"@marcelinotorrespaucar eso mismo opino, la segunda ola nos deja la incertidumbre",Positivo
@marcelinotorrespaucar llegó la Cepa :'(,Neutro
Momento!... Ustedes afirman que va a ser presencial... Pero que pasa si se acerca la 2da ola de Covid?... No ilusionen a los estudiantes!,Negativo
Siempre debió ser asi,Negativo
Al fiiiin,Positivo
??????,Positivo
????????????,Positivo
???????????????????????????????????????????? Felicidades a todos nosotros que pertenecemos a la familia Vallejiana ! ??,Positivo
?????????? Felicidades vallejito??????????,Positivo
Buenaa top topp,Positivo
Wa llorar ??,Positivo
??,Positivo
????Una bomba ??,Positivo
Una gran noticia ??,Positivo
"Excelente noticia, a seguir!",Positivo
Donde es el tono?,Positivo
Orgullosa de mi casa de estudios UCV,Positivo
All the way up! ?????????,Positivo
Felicidades????,Positivo
????????,Positivo
????????,Positivo
??la fiesta pa cuando ? Vallejo tienes que traer imitadores de Yo soy Bruno Mars ??,Positivo
Bajen la pension,Negativo
Ya era hora. Después de tanto tiempo :'),Positivo
Bien x mi Vallejo vamos x mas logros,Positivo
Por fin ????,Positivo
@claudiasof18 obvio ?? cuando somos?,Positivo
@nicolerg23 miamor el sabado te veo si ????y somos,Positivo
@nicolerg23  nena tenemos que festejar orgullo vallejiano ????para cuando la g,Positivo
??????????????,Positivo
??,Positivo
????,Positivo
????????,Positivo
Hoy se celebra en el campus lima norte ???,Positivo
"Ahora por el licenciamiento,me supongo que bajarán la mensualidad? :3",Positivo
Pura calidad...orgullosa siempre??,Positivo
Bravo??,Positivo
Orgullosa de ser Vallejiana????,Positivo
Felicidades a la UCV????????????,Positivo
"Felicidades!!! A todos, que este merecido reconocimiento nos motive a seguir trabajando con mucha más fuerza aún. A dar lo mejor de nosotros cada día, porque la mejor manera de celebrar es siendo los mejores en todo lo que hacemos siempre!!!",Positivo
Se bebe entonces @bohemioslicoreria,Neutro
Que bueno a ver si se apuran en dar los carnets tbn porque se hace un mundo en entregarlos!,Negativo
UCV  Estás en fabrica de sueño.????,Negativo
Felicitaciones UCV,Positivo
????????????,Positivo
Un logro más ????????,Positivo
??,Positivo
Thats Great! I love UCV ??,Positivo
??ucv felicitaciónes,Positivo
Un logro  mas  vallejinos. Felicidades,Positivo
A celebraar !!! Vaallejianos de ?? :) ????,Positivo
??,Positivo
Que bueno,Positivo
????????,Positivo
Orgullosa de estudiar aquí,Positivo
????????,Positivo
????????,Positivo
"Wuuuuuuuuuuu ???? Felicidades vallejito, todo esfuerzo tiene su recompensa.",Positivo
??????,Positivo
Una gran noticia ??????,Positivo
@mariana.ar25 @arancha1008 @jorgeramal13,Neutro
Donde Quieras,Neutro
Ya toca,Positivo
Para cuándo la fiesta?? a Celebrar,Positivo
@adairalda @carbajaldeza ????,Positivo
@adairalda @carbajaldeza ????,Positivo
????????,Positivo
AL FIN !!! ??????????????????,Positivo
@roserojasg Felicitaciones chica!! ????,Positivo
@rgrosaa_,Neutro
"Que orgullo haber pertenecido a esta casa de estudios filial Chiclayo, doy fe de la excelente calidad de enseñanza y me quito el sombrero ante el trabajo realizado. Muchas felicidades por este éxito @ucv_peru ... sigamos adelante ????",Positivo
Cuando la celebración ??????????,Positivo
